x:0.014578 y:0.023232 z:0.044392
x:0.014932 y:0.023159 z:0.044251
x:0.015285 y:0.023083 z:0.044107
x:0.015636 y:0.023005 z:0.043959
x:0.015986 y:0.022925 z:0.043808
x:0.016333 y:0.022843 z:0.043652
x:0.016679 y:0.022759 z:0.043492
x:0.017023 y:0.022673 z:0.043328
x:0.017364 y:0.022585 z:0.043160
x:0.017704 y:0.022494 z:0.042988
x:0.018041 y:0.022402 z:0.042812
x:0.018376 y:0.022307 z:0.042632
x:0.018709 y:0.022210 z:0.042447
x:0.019039 y:0.022112 z:0.042259
x:0.019367 y:0.022011 z:0.042067
x:0.019692 y:0.021908 z:0.041870
x:0.020015 y:0.021802 z:0.041670
x:0.020335 y:0.021695 z:0.041465
x:0.020652 y:0.021586 z:0.041256
x:0.020966 y:0.021474 z:0.041043
x:0.021277 y:0.021360 z:0.040826
x:0.021585 y:0.021244 z:0.040604
x:0.021890 y:0.021126 z:0.040379
x:0.022192 y:0.021006 z:0.040149
x:0.022192 y:0.021006 z:0.040149
x:0.022192 y:0.021006 z:0.040149
x:0.022192 y:0.021006 z:0.040149
x:-0.021987 y:0.020427 z:0.039888
x:-0.021695 y:0.020551 z:0.040127
x:-0.021400 y:0.020673 z:0.040362
x:-0.021102 y:0.020793 z:0.040592
x:-0.020800 y:0.020911 z:0.040819
x:-0.020495 y:0.021027 z:0.041042
x:-0.020187 y:0.021140 z:0.041260
x:-0.019876 y:0.021252 z:0.041475
x:-0.019562 y:0.021362 z:0.041686
x:-0.019246 y:0.021469 z:0.041892
x:-0.018926 y:0.021575 z:0.042095
x:-0.018604 y:0.021678 z:0.042293
x:-0.018279 y:0.021779 z:0.042488
x:-0.017951 y:0.021878 z:0.042679
x:-0.017621 y:0.021975 z:0.042865
x:-0.017289 y:0.022070 z:0.043048
x:-0.016954 y:0.022163 z:0.043226
x:-0.016618 y:0.022254 z:0.043401
x:-0.016278 y:0.022343 z:0.043572
x:-0.015937 y:0.022430 z:0.043739
x:-0.015594 y:0.022514 z:0.043902
x:-0.015248 y:0.022597 z:0.044061
x:-0.014901 y:0.022678 z:0.044216
x:-0.014552 y:0.022756 z:0.044367
x:-0.014201 y:0.022833 z:0.044515
x:-0.013848 y:0.022908 z:0.044658
x:-0.013493 y:0.022980 z:0.044798
x:-0.013137 y:0.023051 z:0.044934
x:-0.012779 y:0.023119 z:0.045066
x:-0.012420 y:0.023186 z:0.045194
x:-0.012059 y:0.023251 z:0.045318
x:-0.011697 y:0.023313 z:0.045439
x:-0.011333 y:0.023374 z:0.045556
x:-0.010968 y:0.023433 z:0.045669
x:-0.010602 y:0.023489 z:0.045778
x:-0.010234 y:0.023544 z:0.045883
x:-0.009866 y:0.023597 z:0.045985
x:-0.009496 y:0.023648 z:0.046083
x:-0.009125 y:0.023697 z:0.046177
x:-0.008753 y:0.023744 z:0.046268
x:-0.008380 y:0.023789 z:0.046355
x:-0.008006 y:0.023832 z:0.046438
x:-0.007631 y:0.023873 z:0.046518
x:-0.007255 y:0.023913 z:0.046593
x:-0.006879 y:0.023950 z:0.046665
x:-0.006501 y:0.023985 z:0.046734
x:-0.006123 y:0.024019 z:0.046799
x:-0.005744 y:0.024051 z:0.046860
x:-0.005365 y:0.024080 z:0.046917
x:-0.004985 y:0.024108 z:0.046971
x:-0.004604 y:0.024134 z:0.047021
x:-0.004223 y:0.024158 z:0.047068
x:-0.003841 y:0.024180 z:0.047111
x:-0.003459 y:0.024201 z:0.047150
x:-0.003076 y:0.024219 z:0.047186
x:-0.002693 y:0.024236 z:0.047218
x:-0.002310 y:0.024250 z:0.047246
x:-0.001926 y:0.024263 z:0.047271
x:-0.001542 y:0.024274 z:0.047292
x:-0.001158 y:0.024283 z:0.047310
x:-0.000773 y:0.024290 z:0.047324
x:-0.000389 y:0.024295 z:0.047334
x:-0.000004 y:0.024299 z:0.047341
x:0.000381 y:0.024300 z:0.047344
x:0.000766 y:0.024300 z:0.047344
x:0.001151 y:0.024297 z:0.047340
x:0.001536 y:0.024293 z:0.047332
x:0.001921 y:0.024287 z:0.047320
x:0.002306 y:0.024279 z:0.047305
x:0.002690 y:0.024269 z:0.047287
x:0.003075 y:0.024258 z:0.047264
x:0.003459 y:0.024244 z:0.047238
x:0.003843 y:0.024229 z:0.047209
x:0.004227 y:0.024211 z:0.047175
x:0.004610 y:0.024192 z:0.047138
x:0.004994 y:0.024171 z:0.047098
x:0.005376 y:0.024148 z:0.047053
x:0.005759 y:0.024123 z:0.047005
x:0.006140 y:0.024096 z:0.046954
x:0.006522 y:0.024067 z:0.046898
x:0.006902 y:0.024036 z:0.046839
x:0.007282 y:0.024003 z:0.046776
x:0.007662 y:0.023969 z:0.046709
x:0.008041 y:0.023932 z:0.046639
x:0.008419 y:0.023894 z:0.046565
x:0.008796 y:0.023853 z:0.046487
x:0.009172 y:0.023811 z:0.046405
x:0.009548 y:0.023767 z:0.046319
x:0.009923 y:0.023720 z:0.046230
x:0.010296 y:0.023672 z:0.046137
x:0.010669 y:0.023622 z:0.046040
x:0.011040 y:0.023570 z:0.045939
x:0.011411 y:0.023515 z:0.045834
x:0.011780 y:0.023459 z:0.045726
x:0.012148 y:0.023401 z:0.045613
x:0.012515 y:0.023341 z:0.045497
x:0.012880 y:0.023279 z:0.045376
x:0.013244 y:0.023214 z:0.045252
x:0.013607 y:0.023148 z:0.045124
x:0.013968 y:0.023080 z:0.044991
x:0.014327 y:0.023010 z:0.044855
x:0.014685 y:0.022937 z:0.044715
x:0.015042 y:0.022863 z:0.044571
x:0.015396 y:0.022786 z:0.044423
x:0.015749 y:0.022708 z:0.044271
x:0.016099 y:0.022627 z:0.044114
x:0.016448 y:0.022545 z:0.043954
x:0.016795 y:0.022460 z:0.043790
x:0.017140 y:0.022373 z:0.043621
x:0.017482 y:0.022284 z:0.043449
x:0.017823 y:0.022193 z:0.043272
x:0.018161 y:0.022100 z:0.043091
x:0.018497 y:0.022005 z:0.042906
x:0.018830 y:0.021908 z:0.042717
x:0.019161 y:0.021808 z:0.042524
x:0.019489 y:0.021707 z:0.042326
x:0.019814 y:0.021603 z:0.042125
x:0.020137 y:0.021497 z:0.041919
x:0.020457 y:0.021390 z:0.041709
x:0.020774 y:0.021280 z:0.041495
x:0.021088 y:0.021167 z:0.041277
x:0.021398 y:0.021053 z:0.041054
x:0.021706 y:0.020937 z:0.040828
x:0.022010 y:0.020818 z:0.040597
x:0.022312 y:0.020698 z:0.040362
x:0.022312 y:0.020698 z:0.040362
x:0.022312 y:0.020698 z:0.040362
x:0.022312 y:0.020698 z:0.040362
x:-0.022102 y:0.020121 z:0.040090
x:-0.021812 y:0.020246 z:0.040335
x:-0.021517 y:0.020368 z:0.040575
x:-0.021219 y:0.020488 z:0.040811
x:-0.020918 y:0.020607 z:0.041043
x:-0.020613 y:0.020723 z:0.041271
x:-0.020306 y:0.020837 z:0.041495
x:-0.019995 y:0.020949 z:0.041715
x:-0.019681 y:0.021059 z:0.041930
x:-0.019364 y:0.021166 z:0.042142
